Timestamp,Are you:,What is your major?,Age,Gender,What is the highest level of education your parents/guardians have completed? ,How many books do you or your family have at home?,"How comfortable are you in reading, understanding, and communicating in English?",Do you work?,Do you live:,What was your GPA in high-school? ,"On average, how many hours of sleep do you get each night?",How motivated are you to improve your critical thinking skills?,Do you consider yourself a better critical thinker than at the start of the semester?,Have you used tutoring services for your CRT course? ,"Consider the statement: 
""Vaccinations should be mandatory because they prevent serious diseases."" 
What is the main claim?","In the previous question statement, what is used as support for the claim?","A project your team is working on is over budget. 
What could be a potential first step to address this problem?","Continue thinking about the scenario from the previous question. 
Let's say that you you decided to analyze the budget. You found some unnecessary expenses. 
What could be your next step?","Consider the claim: 
""Regular physical activity reduces the risk of chronic diseases."" 
Which of the following would be the strongest evidence for this claim?","Continue thinking about the scenario from the previous question.

Based on your selected answer about the best evidence, how strongly does it support the claim (0-weak, 2-strong)?","Consider the argument: 
""Strawberries are fruits. All fruits grow on trees. Therefore, strawberries grow on trees."" 
What is the mistake in this argument?","If an argument says: 
""If it's hot, then people swim. It's cold. Therefore, people don't swim.""  
Is the logic of this argument valid or not?","Considering the statement: 
""Online learning is more effective than traditional classroom learning."" 
Which of the following perspectives may disagree?","Consider the topic of implementing stricter gun control laws.
Which perspective might oppose stricter regulations?","Consider the problem: 
""A coffee and a muffin cost $6 in total. The coffee costs $5 more than the muffin. How much does the muffin cost?"" 
What's your answer?"
11/28/2023 20:35:18,Sophomore,psychology,24,Female,High-school degree.,Between 5 and 20,Comfortable enough to understand most things.,No,By yourself,3.7,Between 4 and 6,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,It is not supported by logic,Yes,A parent who sees their child thriving in online classes.,A government official concerned about rising crime rates.,$1.00
11/28/2023 21:16:43,Freshman,Liberal Arts,19,Male,High-school degree.,Between 20 and 50,Comfortable enough to understand most things.,"Yes, full time.",With parents,3.7,Between 4 and 6,Very motivated.,About the same,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,An athlete saying they feel healthier because they exercise regularly.,2,It is not supported by logic,No,"A student who learns better in interactive, social environments., A teacher who finds delivering online lessons convenient.","A gun control advocate., A victim of gun violence.",$0.50
11/29/2023 7:50:26,Sophomore,dont know yet,16,Male,Graduate degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,3.7,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/29/2023 7:53:29,Sophomore,none,15,Female,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,No,With parents,3.3,Between 6 and 8,Somewhat motivated.,About the same,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.","A citizen concerned about personal safety and self-defense., A victim of gun violence.",$1.00
11/29/2023 7:53:59,Freshman,Business Administration and Management,16,Male,Graduate degree.,More than 50,Absolutely comfortable.,"Yes, part-time.",With parents,3.7,Between 4 and 6,Very motivated.,Yes,No,Vaccinations are mandatory.,Serious diseases are a problem.,Analyze the budget and spending to identify cost overruns.,Ask for a higher budget to cover the extra expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/29/2023 7:54:22,Sophomore,Film Production,15,Male,Graduate degree.,Between 20 and 50,Comfortable enough to understand most things.,No,With parents,3,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A gun control advocate.,$1.00
11/29/2023 7:59:48,Freshman,Sports Psychology ,16,Male,High-school degree.,Less than 5,Absolutely comfortable.,No,With parents,3.7,8 or more,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/29/2023 8:04:15,Freshman,entertainment,16,Female,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,No,With parents,3.7,Between 4 and 6,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/29/2023 8:05:52,Sophomore,Production,15,Female,Did not complete high school.,More than 50,Comfortable enough to understand most things.,"Yes, part-time.",With parents,2.7,Between 4 and 6,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Serious diseases are a problem.,Analyze the budget and spending to identify cost overruns.,Ignore the findings and continue with the current spending.,A scientific study showing that physically active people have lower rates of chronic disease.,1,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.","A citizen concerned about personal safety and self-defense., A victim of gun violence.",$0.15
11/29/2023 8:10:35,Sophomore,Liberal Arts,15,Female,Did not complete high school.,Between 20 and 50,Fairly comfortable.,"Yes, part-time.",With parents,3,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/29/2023 11:22:13,Freshman,Liberal Arts,19,Male,High-school degree.,Between 20 and 50,Absolutely comfortable.,"Yes, full time.",With parents,3.3,Between 4 and 6,Very motivated.,About the same,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,An athlete saying they feel healthier because they exercise regularly.,2,It is not supported by logic,Yes,A teacher who finds delivering online lessons convenient.,"A gun control advocate., A victim of gun violence.",$0.50
11/29/2023 11:23:11,Sophomore,Liberal Arts,20,Female,High-school degree.,Between 5 and 20,Fairly comfortable.,"Yes, full time.",With parents,3.3,Between 6 and 8,Very motivated.,Yes,No,Vaccinations prevent serious diseases.,Serious diseases are a problem.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments., A CEO of an educational technology company.",A gun control advocate.,$1.00
11/29/2023 11:27:52,Freshman,digital marketing,19,Female,College degree.,Between 5 and 20,Somewhat comfortable.,"Yes, part-time.",With parents,3.7,Between 6 and 8,Somewhat motivated.,Yes,Yes,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments., A parent who sees their child thriving in online classes.",A victim of gun violence.,$1.00
11/29/2023 11:28:51,Freshman,Liberal Arts,17,Male,High-school degree.,Between 5 and 20,Absolutely comfortable.,"Yes, full time.",With parents,3.7,Between 6 and 8,Fairly motivated.,About the same,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,A parent who sees their child thriving in online classes.,A citizen concerned about personal safety and self-defense.,$0.50
11/29/2023 11:29:15,Freshman,Liberal Arts,22,Female,Graduate degree.,Between 5 and 20,Somewhat comfortable.,"Yes, part-time.",With parents,3.7,Between 4 and 6,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/29/2023 14:50:56,Sophomore,PSYCH STEM,20,Male,College degree.,Between 5 and 20,Absolutely comfortable.,,With parents,3.3,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/29/2023 15:38:31,Sophomore,Liberal Arts,20,Male,High-school degree.,Less than 5,Absolutely comfortable.,No,With parents,2.7,Between 4 and 6,Somewhat motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,"Cut all the unnecessary expenses., Blame the team member in charge of the budget.",A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,No,"A student who learns better in interactive, social environments., A teacher who finds delivering online lessons convenient.","A citizen concerned about personal safety and self-defense., A government official concerned about rising crime rates., A gun control advocate., A victim of gun violence.",$1.00
11/30/2023 10:50:18,Freshman,Computer Science,23,Male,Did not complete high school.,Less than 5,Comfortable enough to understand most things.,"Yes, full time.",With parents,3,Between 4 and 6,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/30/2023 16:33:02,Sophomore,Communication Studies ,44,Female,Did not complete high school.,More than 50,Comfortable enough to understand most things.,"Yes, part-time.",By yourself,3.7,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$0.50
11/30/2023 21:17:29,Sophomore,Criminal Justice,24,Female,College degree.,Between 5 and 20,Comfortable enough to understand most things.,"Yes, full time.",By yourself,4,Between 4 and 6,Somewhat motivated.,Yes,No,Vaccinations prevent serious diseases.,Vaccinations are mandatory.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
11/30/2023 23:13:33,Freshman,Computer Science,19,Female,College degree.,More than 50,Absolutely comfortable.,"Yes, part-time.",With parents,3.7,Between 6 and 8,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$0.50
12/1/2023 17:47:53,Freshman,Engineering Science ,33,Male,Did not complete high school.,Between 20 and 50,Comfortable enough to understand most things.,"Yes, full time.",With parents,2.7,Between 4 and 6,Fairly motivated.,About the same,No,Serious diseases are a problem.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,It is not supported by logic,Yes,"A student who learns better in interactive, social environments.","A citizen concerned about personal safety and self-defense., A gun control advocate., A victim of gun violence.",$1.00
12/2/2023 12:23:25,Sophomore,Computer Science,30,Male,Did not complete high school.,Less than 5,Not comfortable at all.,"Yes, part-time.",By yourself,3,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$0.50
12/2/2023 21:20:12,Freshman,Liberal Arts,22,Female,High-school degree.,More than 50,Comfortable enough to understand most things.,No,By yourself,4,Between 6 and 8,Fairly motivated.,No,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$0.50
12/3/2023 3:13:03,Sophomore,Psychology ,19,Female,High-school degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,2.7,8 or more,Somewhat motivated.,Yes,No,Vaccinations prevent serious diseases.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.",A gun control advocate.,$1.00
12/3/2023 18:33:50,Freshman,Computer information systems,20,Male,High-school degree.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",With parents,2.7,Between 6 and 8,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,"Request more funds without further review., Analyze the budget and spending to identify cost overruns.","Ignore the findings and continue with the current spending., Cut all the unnecessary expenses.",An athlete saying they feel healthier because they exercise regularly.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
12/4/2023 9:50:22,Freshman,Pyschology,18,Female,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",With parents,2.7,Between 4 and 6,Fairly motivated.,Yes,No,Vaccinations are mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,Both,Yes,"A student who learns better in interactive, social environments.",A victim of gun violence.,$1.00
12/4/2023 10:04:11,Freshman,Education ,22,Female,College degree.,More than 50,Fairly comfortable.,No,With parents,3,Between 4 and 6,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,No,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
12/4/2023 10:04:53,Freshman,Liberal Arts,23,Male,High-school degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,3.3,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations prevent serious diseases.,Vaccinations are mandatory.,Analyze the budget and spending to identify cost overruns.,Ask for a higher budget to cover the extra expenses.,An athlete saying they feel healthier because they exercise regularly.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A government official concerned about rising crime rates.,$1.00
12/4/2023 15:41:05,Sophomore,Liberal Arts,19,Female,Did not complete high school.,Between 5 and 20,Fairly comfortable.,"Yes, part-time.",With parents,3,Between 4 and 6,Very motivated.,Yes,No,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$0.50
12/5/2023 17:15:22,Freshman,Liberal Arts,21,Female,High-school degree.,Less than 5,Absolutely comfortable.,"Yes, part-time.",By yourself,3,Between 6 and 8,Fairly motivated.,Yes,Yes,Vaccinations should be mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,A scientific study showing that physically active people have lower rates of chronic disease.,2,One of the premises is not true,Yes,"A student who learns better in interactive, social environments.",A citizen concerned about personal safety and self-defense.,$1.00
12/5/2023 19:32:24,Freshman,Liberal Arts,21,Female,High-school degree.,Less than 5,Fairly comfortable.,"Yes, part-time.",With parents,3,Between 6 and 8,Fairly motivated.,Yes,No,Vaccinations are mandatory.,Vaccinations prevent serious diseases.,Analyze the budget and spending to identify cost overruns.,Cut all the unnecessary expenses.,An athlete saying they feel healthier because they exercise regularly.,1,It is not supported by logic,No,A parent who sees their child thriving in online classes.,A citizen concerned about personal safety and self-defense.,$1.00
